MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,GrossCollection,Certification,votes
Star Trek II: The Wrath of Khan, William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan,Action, Adventure, Sci-Fi,78.91,PG ,"1,25,630"
The Count of Monte Cristo, Jim Caviezel, Guy Pearce, Christopher Adamson, JB Blanc,Action, Adventure, Drama,54.23,PG-13 ,"1,43,091"
Training Day, Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger,Action, Crime, Drama,76.63,R ,"4,51,859"
Badlands, Martin Sheen, Sissy Spacek, Warren Oates, Ramon Bieri,Action, Crime, Drama,Nan,PG ,"75,568"
First Blood, Sylvester Stallone, Brian Dennehy, Richard Crenna, Bill McKinney,Action, Adventure, Thriller,47.21,R ,"2,63,296"
Kung Fu Hustle, Stephen Chow, Wah Yuen, Qiu Yuen, Siu-Lung Leung,Action, Comedy, Fantasy,17.11,R ,"1,45,120"
The Boondock Saints, Willem Dafoe, Sean Patrick Flanery, Norman Reedus, David Della Rocco,Action, Thriller,Nan,0.03,R ,"2,43,847"
Star Trek Into Darkness, Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch,Action, Adventure, Sci-Fi,228.78,PG-13 ,"4,89,987"
Dirty Harry, Clint Eastwood, Andrew Robinson, Harry Guardino, Reni Santoni,Action, Crime, Thriller,35.9,R ,"1,62,339"
The Dirty Dozen, Lee Marvin, Ernest Borgnine, Charles Bronson, John Cassavetes,Action, Adventure, War,45.3,Approved ,"76,384"
The Longest Day, John Wayne, Robert Ryan, Richard Burton, Henry Fonda,Action, Drama, History,39.1,G ,"57,631"
